REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.1.9.1.20.1,674670,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.1.9.1.21.1,94000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.2.7.1.1.1,5306105,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.2.7.1.2.1,52275,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.2.7.1.3.1,21900,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.2.7.1.4.1,30910,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.2.7.1.5.1,46550,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.2.7.1.6.1,75740,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.2.7.1.7.1,97465,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.2.7.1.8.1,174505,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.2.7.1.9.1,261475,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.2.7.1.10.1,267080,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.2.7.1.11.1,269770,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.2.7.1.12.1,592640,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.2.7.1.13.1,589235,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.2.7.1.14.1,542655,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.2.7.1.15.1,474065,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.2.7.1.16.1,387635,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.2.7.1.17.1,1422215,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.2.7.1.18.1,647220,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.2.7.1.19.1,341330,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.2.7.1.20.1,433665,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.2.7.1.21.1,73000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.2.8.1.1.1,4896825,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.2.8.1.2.1,39975,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.2.8.1.3.1,14915,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.2.8.1.4.1,20910,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.2.8.1.5.1,31455,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.2.8.1.6.1,49825,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.2.8.1.7.1,68810,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.2.8.1.8.1,140820,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.2.8.1.9.1,224275,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.2.8.1.10.1,227575,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.2.8.1.11.1,233520,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.2.8.1.12.1,534845,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.2.8.1.13.1,551720,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.2.8.1.14.1,518680,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.2.8.1.15.1,457705,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.2.8.1.16.1,377485,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.2.8.1.17.1,1404305,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.2.8.1.18.1,636745,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.2.8.1.19.1,337710,,,,0
2021,Canada,2021A000011124,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.2.8.1.20.1,429850,,,,0
