REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.1.8.1.4.1,22690,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.1.8.1.5.1,33770,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.1.8.1.6.1,53250,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.1.8.1.7.1,73705,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.1.8.1.8.1,147845,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.1.8.1.9.1,234345,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.1.8.1.10.1,240810,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.1.8.1.11.1,250345,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.1.8.1.12.1,582225,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.1.8.1.13.1,617015,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.1.8.1.14.1,600895,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.1.8.1.15.1,553540,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.1.8.1.16.1,482375,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.1.8.1.17.1,2345935,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.1.8.1.18.1,900525,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.1.8.1.19.1,559800,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.1.8.1.20.1,885605,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.1.8.1.21.1,84000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.1.9.1.1.1,3964305,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.1.9.1.2.1,35240,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.1.9.1.3.1,15285,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.1.9.1.4.1,20975,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.1.9.1.5.1,31485,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.1.9.1.6.1,48465,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.1.9.1.7.1,59725,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.1.9.1.8.1,77295,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.1.9.1.9.1,92570,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.1.9.1.10.1,111080,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.1.9.1.11.1,123955,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.1.9.1.12.1,279125,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.1.9.1.13.1,310000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.1.9.1.14.1,328145,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.1.9.1.15.1,331360,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.1.9.1.16.1,318215,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.1.9.1.17.1,1781390,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.1.9.1.18.1,657770,,,,0
2021,Canada,2021A000011124,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.1.9.1.19.1,448950,,,,0
